,REPORT_PERIOD,TOTAL,Missing,Missing nonDEL
0,1997-06-30,655,1.0,1.0
1,1997-12-31,720,1.0,1.0
2,1998-06-30,784,7.0,7.0
3,1998-12-31,826,1.0,1.0
4,1999-06-30,873,1.0,
5,1999-12-31,923,,
6,2000-06-30,973,,
7,2000-12-31,1060,1.0,1.0
8,2001-06-30,1112,1.0,1.0
9,2001-12-31,1136,1.0,1.0
10,2002-03-31,1147,1.0,1.0
11,2002-06-30,1163,1.0,1.0
12,2002-09-30,1185,1.0,1.0
13,2002-12-31,1200,,
14,2003-03-31,1214,3.0,1.0
15,2003-06-30,1226,1.0,1.0
16,2003-09-30,1249,1.0,1.0
17,2003-12-31,1263,1.0,
18,2004-03-31,1278,1.0,1.0
19,2004-06-30,1322,2.0,2.0
20,2004-09-30,1354,2.0,2.0
21,2004-12-31,1353,,
22,2005-03-31,1355,1.0,1.0
23,2005-06-30,1367,1.0,1.0
24,2005-09-30,1358,1.0,1.0
25,2005-12-31,1358,6.0,1.0
26,2006-03-31,1353,3.0,2.0
27,2006-06-30,1352,3.0,2.0
28,2006-09-30,1373,2.0,
29,2006-12-31,1411,,
30,2007-03-31,1438,3.0,
31,2007-06-30,1454,,
32,2007-09-30,1494,,
33,2007-12-31,1527,1.0,
34,2008-03-31,1548,,
35,2008-06-30,1584,,
36,2008-09-30,1602,,
37,2008-12-31,1602,,
38,2009-03-31,1602,1.0,1.0
39,2009-06-30,1600,,
40,2009-09-30,1627,,
41,2009-12-31,1696,3.0,
42,2010-03-31,1785,,
43,2010-06-30,1869,,
44,2010-09-30,1954,,
45,2010-12-31,2041,1.0,
46,2011-03-31,2129,,
47,2011-06-30,2207,,
48,2011-09-30,2272,,
49,2011-12-31,2320,3.0,
50,2012-03-31,2367,,
51,2012-06-30,2422,,
52,2012-09-30,2467,,
53,2012-12-31,2472,,
54,2013-03-31,2470,1.0,
55,2013-06-30,2469,2.0,
56,2013-09-30,2467,,
57,2013-12-31,2468,,
58,2014-03-31,2516,,
59,2014-06-30,2519,,
60,2014-09-30,2548,,
61,2014-12-31,2592,1.0,
62,2015-03-31,2662,,
63,2015-06-30,2776,,
64,2015-09-30,2780,,
65,2015-12-31,2808,,
66,2016-03-31,2832,,
67,2016-06-30,2868,,
68,2016-09-30,2933,,
69,2016-12-31,3034,1.0,
70,2017-03-31,3167,,
71,2017-06-30,3279,,
72,2017-09-30,3381,,
73,2017-12-31,3467,,
74,2018-03-31,3503,,
75,2018-06-30,3529,,
76,2018-09-30,3550,1.0,1.0
77,2018-12-31,3565,2.0,2.0
78,2019-03-31,3598,2.0,1.0
79,2019-06-30,3629,2.0,1.0
