Code,Name,ipo_date,,
000001.SZ,平安银行,1991/4/3,CSRC货币金融服务,Wind银行
000002.SZ,万科A,1991/1/29,CSRC房地产业,Wind房地产Ⅱ
000004.SZ,国农科技,1991/1/14,CSRC医药制造业,Wind制药、生物科技与生命科学
000005.SZ,世纪星源,1990/12/10,CSRC生态保护和环境治理业,Wind商业和专业服务
000006.SZ,深振业A,1992/4/27,CSRC房地产业,Wind房地产Ⅱ
000007.SZ,全新好,1992/4/13,CSRC房地产业,Wind房地产Ⅱ
000008.SZ,神州高铁,1992/5/7,CSRC铁路、船舶、航空航天和其他运输设备制造业,Wind资本货物
000009.SZ,中国宝安,1991/6/25,CSRC综合,Wind资本货物
000010.SZ,*ST美丽,1995/10/27,CSRC土木工程建筑业,Wind资本货物
000011.SZ,深物业A,1992/3/30,CSRC房地产业,Wind房地产Ⅱ
000012.SZ,南玻A,1992/2/28,CSRC非金属矿物制品业,Wind材料Ⅱ
000014.SZ,沙河股份,1992/6/2,CSRC房地产业,Wind房地产Ⅱ
000016.SZ,深康佳A,1992/3/27,CSRC计算机、通信和其他电子设备制造业,Wind耐用消费品与服装
000017.SZ,深中华A,1992/3/31,CSRC铁路、船舶、航空航天和其他运输设备制造业,Wind耐用消费品与服装
000018.SZ,*ST神城,1992/6/16,CSRC建筑装饰和其他建筑业,Wind资本货物
000019.SZ,深粮控股,1992/10/12,CSRC批发业,Wind食品、饮料与烟草
000020.SZ,深华发A,1992/4/28,CSRC计算机、通信和其他电子设备制造业,Wind耐用消费品与服装
000021.SZ,深科技,1994/2/2,CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备
000023.SZ,深天地A,1993/4/29,CSRC非金属矿物制品业,Wind材料Ⅱ
000025.SZ,特力A,1993/6/21,CSRC批发业,Wind零售业
000026.SZ,飞亚达A,1993/6/3,CSRC零售业,Wind耐用消费品与服装
000027.SZ,深圳能源,1993/9/3,CSRC电力、热力生产和供应业,Wind公用事业Ⅱ
000028.SZ,国药一致,1993/8/9,CSRC批发业,Wind医疗保健设备与服务
000029.SZ,深深房A,1993/9/15,CSRC房地产业,Wind房地产Ⅱ
000030.SZ,富奥股份,1993/9/29,CSRC汽车制造业,Wind汽车与汽车零部件
