Code,Name,ipo_date,delist_date
600401.SH,退市海润(退市),2003/9/24,2019/7/12
002070.SZ,众和退(退市),2006/10/12,2019/7/9
000693.SZ,华泽退(退市),1997/2/26,2019/7/9
000418.SZ,小天鹅A(退市),1997/3/28,2019/6/21
600680.SH,*ST上普(退市),1993/10/18,2019/5/24
000979.SZ,中弘退(退市),2000/6/16,2018/12/28
600270.SH,外运发展(退市),2000/12/28,2018/12/28
000511.SZ,烯碳退(退市),1993/5/18,2018/7/18
600432.SH,退市吉恩(退市),2003/9/5,2018/7/13
600806.SH,退市昆机(退市),1994/1/3,2018/7/13
000916.SZ,华北高速(退市),1999/9/27,2017/12/25
300372.SZ,欣泰退(退市),2014/1/27,2017/8/28
000033.SZ,新都退(退市),1994/1/3,2017/7/7
600005.SH,武钢股份(退市),1999/8/3,2017/2/14
000748.SZ,长城信息(退市),1997/7/4,2017/1/18
600656.SH,退市博元(退市),1990/12/19,2016/5/13
000024.SZ,招商地产(退市),1993/6/7,2015/12/30
300186.SZ,大华农(退市),2011/3/8,2015/11/2
000594.SZ,国恒(退市),1996/3/20,2015/7/13
601268.SH,*ST二重(退市),2010/2/2,2015/5/21
601299.SH,中国北车(退市),2009/12/29,2015/5/20
600832.SH,东方明珠(退市),1994/2/24,2015/5/20
000562.SZ,宏源证券(退市),1994/2/2,2015/1/26
600087.SH,长油(退市),1997/6/12,2014/6/5
000527.SZ,美的电器(退市),1993/11/12,2013/9/18
000602.SZ,金马集团(退市),1996/8/19,2013/8/14
600253.SH,天方药业(退市),2000/12/27,2013/7/15
000522.SZ,白云山A(退市),1993/11/8,2013/4/26
000805.SZ,*ST炎黄(退市),1998/5/29,2013/3/27
000787.SZ,*ST创智(退市),1997/6/26,2013/2/8
600991.SH,广汽长丰(退市),2004/6/14,2012/3/20
600263.SH,路桥建设(退市),2000/7/25,2012/3/1
600102.SH,莱钢股份(退市),1997/8/28,2012/2/28
600631.SH,百联股份(退市),1993/2/19,2011/8/23
000578.SZ,盐湖集团(退市),1995/3/3,2011/3/22
600553.SH,太行水泥(退市),2002/8/22,2011/2/18
600003.SH,ST东北高(退市),1999/8/10,2010/2/26
600842.SH,中西药业(退市),1994/3/11,2010/2/12
600607.SH,上实医药(退市),1992/3/27,2010/2/12
600591.SH,*ST上航(退市),2002/10/11,2010/1/25
600357.SH,承德钒钛(退市),2002/9/6,2009/12/29
600001.SH,邯郸钢铁(退市),1998/1/22,2009/12/29
600840.SH,新湖创业(退市),1994/3/11,2009/8/27
000569.SZ,长城股份(退市),1994/4/25,2009/5/6
000515.SZ,攀渝钛业(退市),1993/7/12,2009/5/6
600627.SH,上电股份(退市),1993/1/18,2008/11/26
600786.SH,东方锅炉(退市),1996/12/27,2008/3/18
600472.SH,包头铝业(退市),2005/5/9,2007/12/26
600065.SH,*ST联谊(退市),1997/5/23,2007/12/13
600762.SH,S*ST金荔(退市),1996/10/25,2007/11/20
600181.SH,*ST云大(退市),1998/9/28,2007/6/1
600286.SH,S*ST国瓷(退市),1999/12/9,2007/5/31
000583.SZ,S*ST托普(退市),1995/11/1,2007/5/21
600205.SH,S山东铝(退市),1999/6/30,2007/4/30
600296.SH,S兰铝(退市),2000/7/19,2007/4/30
000549.SZ,S湘火炬(退市),1993/12/20,2007/4/27
000699.SZ,S*ST佳纸(退市),1997/3/10,2007/4/4
600092.SH,S*ST精密(退市),1997/6/26,2006/11/30
600772.SH,S*ST龙昌(退市),1996/11/4,2006/11/30
T00018.SH,上港集箱(退市),2000/7/19,2006/10/20
000832.SZ,*ST龙涤(退市),1998/8/25,2006/6/29
600002.SH,齐鲁石化(退市),1998/4/8,2006/4/24
000956.SZ,中原油气(退市),1999/11/10,2006/4/21
000866.SZ,扬子石化(退市),1998/5/12,2006/4/21
000406.SZ,石油大明(退市),1996/6/28,2006/4/21
600659.SH,*ST花雕(退市),1993/5/28,2006/3/23
000618.SZ,吉林化工(退市),1996/10/15,2006/2/20
000763.SZ,锦州石化(退市),1997/9/15,2006/1/4
000817.SZ,辽河油田(退市),1998/5/28,2006/1/4
600799.SH,*ST龙科(退市),1997/4/16,2006/1/4
600752.SH,*ST哈慈(退市),1996/9/25,2005/9/22
000827.SZ,*ST长兴(退市),1998/10/16,2005/9/21
600899.SH,*ST信联(退市),1996/4/26,2005/9/21
000535.SZ,*ST猴王(退市),1993/11/30,2005/9/21
000769.SZ,*ST大菲(退市),1997/5/30,2005/9/21
600700.SH,*ST数码(退市),1996/4/30,2005/9/20
600852.SH,*ST中川(退市),1994/4/4,2005/9/16
600672.SH,*ST华圣(退市),1993/9/17,2005/8/5
000765.SZ,*ST华信(退市),1997/11/3,2005/7/4
600788.SH,*ST达曼(退市),1996/12/30,2005/3/25
600632.SH,华联商厦(退市),1993/2/19,2004/11/18
000621.SZ,*ST比特(退市),1996/11/5,2004/9/27
600670.SH,*ST斯达(退市),1993/8/9,2004/9/24
000730.SZ,*ST环保(退市),1997/5/22,2004/9/24
000013.SZ,*ST石化A(退市),1992/5/6,2004/9/20
600878.SH,*ST北科(退市),1995/10/13,2004/9/15
600669.SH,*ST鞍成(退市),1993/8/6,2004/9/15
000660.SZ,*ST南华(退市),1996/12/9,2004/9/13
000405.SZ,ST鑫光(退市),1996/6/20,2004/3/19
000542.SZ,TCL通讯(退市),1993/12/1,2004/1/13
600646.SH,ST国嘉(退市),1993/5/4,2003/9/22
000412.SZ,ST五环(退市),1996/7/15,2003/9/19
000047.SZ,ST中侨(退市),1994/10/21,2003/5/30
600709.SH,ST生态(退市),1996/6/18,2003/5/23
000658.SZ,ST海洋(退市),1996/12/18,2002/9/20
600813.SH,ST鞍一工(退市),1994/1/14,2002/9/16
000653.SZ,ST九州(退市),1996/11/26,2002/9/13
000689.SZ,ST宏业(退市),1996/12/31,2002/9/5
000675.SZ,ST银山(退市),1996/12/26,2002/8/20
000003.SZ,PT金田A(退市),1991/7/3,2002/6/14
000556.SZ,PT南洋(退市),1994/5/25,2002/5/29
000015.SZ,PT中浩A(退市),1992/6/25,2001/10/22
000588.SZ,PT粤金曼(退市),1996/1/23,2001/6/15
600625.SH,PT水仙(退市),1993/1/6,2001/4/23
000508.SZ,琼民源A(退市),1993/4/30,1999/7/12
