,permno,ShortName,ListedDate,DelistedDate,IPOIndustryCode,IPOIndustryName,LatestIndustryName,LatestIndustryCode
2,000001,平安银行,1991-04-03,,I01,银行业,货币金融服务,J66
3,000002,万科A,1991-01-29,,J01,房地产开发与经营业,房地产业,K70
4,000003,PT 金田A,1991-07-03,2002-06-14,M,综合类,综合,S90
5,000004,国农科技,1991-01-14,,F03,公路运输业,医药制造业,C27
6,000005,世纪星源,1990-12-10,,M,综合类,生态保护和环境治理业,N77
7,000006,深振业A,1992-04-27,,J01,房地产开发与经营业,房地产业,K70
8,000007,全新好,1992-04-13,,J01,房地产开发与经营业,房地产业,K70
9,000008,神州高铁,1992-05-07,,G87,计算机应用服务业,铁路、船舶、航空航天和其它运输设备制造业,C37
10,000009,中国宝安,1991-06-25,,M,综合类,综合,S90
11,000010,*ST 美丽,1995-10-27,,H21,商业经纪与代理业,土木工程建筑业,E48
12,000011,深物业A,1992-03-30,,M,综合类,房地产业,K70
13,000012,南玻A,1992-02-28,,C61,非金属矿物制品业,非金属矿物制品业,C30
14,000013,*ST 石化A,1992-05-06,2004-09-20,H03,能源、材料和机械电子设备批发业,批发业,F51
15,000014,沙河股份,1992-06-02,,J01,房地产开发与经营业,房地产业,K70
16,000015,PT 中浩A,1992-06-25,2001-10-25,M,综合类,综合,S90
17,000016,深康佳A,1992-03-27,,C55,日用电子器具制造业,计算机、通信和其他电子设备制造业,C39
18,000017,深中华A,1992-03-31,,C75,交通运输设备制造业,铁路、船舶、航空航天和其它运输设备制造业,C37
19,000018,*ST 神城,1992-06-16,,C11,纺织业,建筑装饰和其他建筑业,E50
20,000019,深粮控股,1992-10-12,,C05,饮料制造业,批发业,F51
21,000020,深华发A,1992-04-28,,C55,日用电子器具制造业,计算机、通信和其他电子设备制造业,C39
22,000021,深科技,1994-02-02,,G83,计算机及相关设备制造业,计算机、通信和其他电子设备制造业,C39
23,001872,深赤湾A,1993-05-05,2018-12-25,F11,交通运输辅助业,水上运输业,G55
24,000023,深天地A,1993-04-29,,E01,土木工程建筑业,非金属矿物制品业,C30
25,000024,招商地产,1993-06-07,2015-12-30,J01,房地产开发与经营业,房地产业,K70
26,000025,特力A,1993-06-21,,M,综合类,批发业,F51
27,000026,飞亚达A,1993-06-03,,C78,仪器仪表及文化、办公用机械制造业,零售业,F52
28,000027,深圳能源,1993-09-03,,D01,电力、蒸汽、热水的生产和供应业,电力、热力生产和供应业,D44
29,000028,国药一致,1993-08-09,,C81,医药制造业,批发业,F51
30,000029,深深房A,1993-09-15,,J01,房地产开发与经营业,房地产业,K70
31,000030,富奥股份,1993-09-29,,C99,其他制造业,汽车制造业,C36
32,000031,大悦城,1993-10-08,,J01,房地产开发与经营业,房地产业,K70
33,000032,深桑达A,1993-10-28,,G81,通信及相关设备制造业,批发业,F51
34,000033,新都退,1994-01-03,2017-07-07,K32,旅馆业,住宿业,H61
35,000034,神州数码,1994-05-09,,M,综合类,批发业,F51
36,000035,中国天楹,1994-04-08,,G81,通信及相关设备制造业,生态保护和环境治理业,N77
37,000036,华联控股,1994-06-17,,C11,纺织业,房地产业,K70
38,000037,深南电A,1994-07-01,,D01,电力、蒸汽、热水的生产和供应业,电力、热力生产和供应业,D44
39,000038,深大通,1994-08-08,,G87,计算机应用服务业,商务服务业,L72
40,000039,中集集团,1994-04-08,,C69,金属制品业,金属制品业,C33
41,000040,东旭蓝天,1994-08-08,,M,综合类,电力、热力生产和供应业,D44
42,000042,中洲控股,1994-09-21,,J01,房地产开发与经营业,房地产业,K70
43,000043,中航善达,1994-09-28,,M,综合类,房地产业,K70
44,000045,深纺织A,1994-08-15,,C11,纺织业,计算机、通信和其他电子设备制造业,C39
45,000046,泛海控股,1994-09-12,,J01,房地产开发与经营业,房地产业,K70
46,000047,ST 中侨,1994-10-21,2003-05-30,J01,房地产开发与经营业,房地产业,K70
47,000048,*ST 康达,1994-11-01,,C01,食品加工业,农副食品加工业,C13
48,000049,德赛电池,1995-03-20,,C76,电器机械及器材制造业,电气机械及器材制造业,C38
49,000050,深天马A,1995-03-15,,C51,电子元器件制造业,计算机、通信和其他电子设备制造业,C39
50,000055,方大集团,1996-04-15,,C69,金属制品业,金属制品业,C33
51,000056,皇庭国际,1996-07-08,,H11,零售业,商务服务业,L72
52,000058,深赛格,1996-12-26,,C51,电子元器件制造业,商务服务业,L72
53,000059,华锦股份,1997-01-30,,C43,化学原料及化学制品制造业,石油加工、炼焦及核燃料加工业,C25
54,000060,中金岭南,1997-01-23,,C67,有色金属冶炼及压延加工业,有色金属冶炼及压延加工业,C32
55,000061,农产品,1997-01-10,,H01,食品、饮料、烟草和家庭用品批发业,商务服务业,L72
